name,base,address,lat,lon
農村工学研究部門,,茨城県つくば市観音台2-1-6,36.032475,140.097137
農業機械研究部門,,埼玉県さいたま市北区日進町1丁目40番地2,35.918289,139.598083
農業機械研究部門,附属農場,埼玉県鴻巣市境1389番地,36.088451,139.539795
農業機械研究部門,つくば研究拠点,茨城県つくば市観音台1-31-1,36.022903,140.098541
作物研究部門,,茨城県つくば市観音台2-1-2,36.032475,140.097137
畜産研究部門,つくば研究拠点池の台事業場,茨城県つくば市池の台2,36.021229,140.12207
畜産研究部門,那須塩原研究拠点,栃木県那須塩原市千本松768,36.919037,139.930222
畜産研究部門,御代田山地放牧研究拠点,長野県北佐久郡御代田町大字塩野375-716,36.346306,138.493454
畜産研究部門,つくば研究拠点観音台第1事業場,茨城県つくば市観音台2-1-18,36.032475,140.097137
食品研究部門,,茨城県つくば市観音台2-1-12,36.032475,140.097137
果樹茶業研究部門,果樹茶業研究部門 つくばエリア(茨城県つくば市),茨城県つくば市藤本2-1,36.047253,140.096054
果樹茶業研究部門,カンキツ研究領域(静岡県静岡市),静岡県静岡市清水区興津中町485-6,35.054707,138.523453
果樹茶業研究部門,リンゴ研究領域(岩手県盛岡市),岩手県盛岡市下厨川字鍋屋敷92-24,39.768074,141.133499
果樹茶業研究部門,ブドウ・カキ研究領域(広島県東広島市),広島県東広島市安芸津町三津301-2,34.343685,132.800735
果樹茶業研究部門,茶業研究領域(静岡県島田市),静岡県島田市金谷猪土居2769,34.808403,138.134247
果樹茶業研究部門,茶業研究領域(鹿児島県枕崎市),鹿児島県枕崎市瀬戸町87,31.278757,130.336746
野菜花き研究部門,つくば(本所),茨城県つくば市観音台3-1-1,36.028893,140.102417
野菜花き研究部門,つくば(藤本),茨城県つくば市藤本2-1,36.047253,140.096054
野菜花き研究部門,安濃野菜研究拠点,三重県津市安濃町草生360,34.772491,136.429489
生物機能利用研究部門,(藤本・大わし事業場(大わし地区)、本所),茨城県つくば市大わし1-2,36.054798,140.087234
生物機能利用研究部門,(藤本・大わし事業場(上横場地区)),茨城県つくば市上横場446-1,36.049519,140.0905
生物機能利用研究部門,(観音台第2事業場),茨城県つくば市観音台2-1-2,36.032475,140.097137
生物機能利用研究部門,(観音台第3事業場),茨城県つくば市観音台3-1-3,36.028893,140.102417
生物機能利用研究部門,(池の台地区),茨城県つくば市池の台2,36.021229,140.12207
農業環境研究部門,,茨城県つくば市観音台3-1-3,36.028893,140.102417
植物防疫研究部門,つくば研究拠点 観音台第1事業場,茨城県つくば市観音台2-1-18,36.032475,140.097137
植物防疫研究部門,つくば研究拠点 観音台第3事業場,城県つくば市観音台3-1-3,35.800709,139.528885
植物防疫研究部門,つくば研究拠点 藤本・大わし事業場,茨城県つくば市藤本2-1,36.047253,140.096054
植物防疫研究部門,盛岡研究拠点,岩手県盛岡市下厨川字鍋屋敷92-24,39.768074,141.133499
植物防疫研究部門,福島研究拠点,福島県福島市荒井字原宿南50,37.714264,140.385696
植物防疫研究部門,金谷茶業研究拠点,静岡県島田市金谷猪土居2769,34.808403,138.134247
植物防疫研究部門,安芸津ブドウ・カキ研究拠点,広島県東広島市安芸津町三津301-2,34.343685,132.800735
植物防疫研究部門,合志研究拠点,熊本県合志市須屋2421,32.875481,130.742996
動物衛生研究部門,,茨城県つくば市観音台3-1-5,36.028893,140.102417
動物衛生研究部門,札幌研究拠点,北海道札幌市豊平区羊ヶ丘4,43.009224,141.413712
動物衛生研究部門,鹿児島研究拠点,鹿児島市中山町2702,31.541668,130.47821
動物衛生研究部門,小平海外病研究拠点,東京都小平市上水本町6-20-1,35.712818,139.474884
農業情報研究センター,つくば,茨城県つくば市観音台1-31-1,36.022903,140.098541
農業情報研究センター,東京,東京都港区西新橋2丁目14-1 興和西新橋ビルB棟 5階,35.667286,139.750992
遺伝資源研究センター,,茨城県つくば市観音台2-1-2,36.032475,140.097137
遺伝資源研究センター,北杜研究拠点,山梨県北杜市小渕沢町6585,35.895557,138.326645
